versionId,scheme,circle,division,range,financialYear,budgetHead,sanctionedAmountRs,spentAmountRs,lastUpdateRole,lastUpdateDate,utilisationRemark
1,TeakImprovement,Circle-West,Div-F,Range-7,2022,Protection,10316000.00,10752273.21,AccountsOfficer,2022-12-19,OverUtilised
2,TeakImprovement,Circle-South,Div-A,Range-1,2023,Community,6237000.00,2549009.38,CF,2023-07-29,UnderUtilised
3,GreenIndiaMission,Circle-North,Div-D,Range-7,2025,Salary,10489000.00,7395919.96,DFO,2026-02-27,Normal
4,WildlifeProtection,Circle-North,Div-B,Range-2,2019,Salary,4118000.00,2940260.88,APCCF-Finance,2019-10-23,Normal
5,FireManagement,Circle-South,Div-B,Range-1,2025,Works,3310000.00,1482989.38,RangeOfficer,2025-05-07,UnderUtilised
6,CAMPA,Circle-West,Div-E,Range-7,2021,Plantation,28691000.00,27706031.86,AccountsOfficer,2021-08-28,Normal
7,WildlifeProtection,Circle-West,Div-E,Range-7,2023,Protection,5107000.00,1634887.30,DFO,2023-06-21,UnderUtilised
8,GreenIndiaMission,Circle-West,Div-A,Range-8,2019,Community,9235000.00,6387199.63,RangeOfficer,2020-02-06,Normal
9,WildlifeProtection,Circle-North,Div-B,Range-3,2023,Plantation,8534000.00,6382812.69,APCCF-Finance,2023-08-04,Normal
10,CAMPA,Circle-South,Div-A,Range-3,2024,Plantation,13303000.00,4357038.84,RangeOfficer,2025-03-03,UnderUtilised
11,TeakImprovement,Circle-West,Div-B,Range-10,2018,Plantation,13318000.00,7746682.53,CF,2018-08-04,UnderUtilised
12,TeakImprovement,Circle-North,Div-D,Range-7,2025,Salary,7701000.00,2611641.83,APCCF-Finance,2026-03-04,UnderUtilised
13,WildlifeProtection,Circle-North,Div-D,Range-4,2020,Protection,3280000.00,1815682.67,CF,2020-06-17,UnderUtilised
14,GreenIndiaMission,Circle-West,Div-A,Range-5,2020,Equipment,11077000.00,9376197.27,DFO,2020-07-18,Normal
15,WildlifeProtection,Circle-South,Div-C,Range-10,2024,Protection,6227000.00,5834739.72,APCCF-Finance,2024-06-11,Normal
16,EcoTourism,Circle-East,Div-B,Range-1,2024,Equipment,2028000.00,1696960.88,APCCF-Finance,2025-01-29,Normal
17,WildlifeProtection,Circle-South,Div-E,Range-7,2022,Equipment,5868000.00,5979695.62,CF,2022-06-08,OverUtilised
18,TeakImprovement,Circle-North,Div-D,Range-2,2020,Salary,6576000.00,5850067.78,DFO,2020-05-31,Normal
19,GreenIndiaMission,Circle-East,Div-B,Range-5,2023,Protection,9541000.00,4433759.40,CF,2023-07-02,UnderUtilised
20,TeakImprovement,Circle-West,Div-B,Range-9,2018,Community,8137000.00,7774103.95,DFO,2018-04-05,Normal
21,FireManagement,Circle-West,Div-A,Range-7,2020,Equipment,3168000.00,3240868.42,RangeOfficer,2020-09-08,OverUtilised
22,GreenIndiaMission,Circle-North,Div-B,Range-7,2020,Plantation,20599000.00,21481931.74,RangeOfficer,2021-01-07,OverUtilised
23,FireManagement,Circle-North,Div-E,Range-10,2018,Community,3678000.00,1996941.90,RangeOfficer,2018-09-06,UnderUtilised
24,WildlifeProtection,Circle-South,Div-A,Range-10,2023,Works,7389000.00,3979521.24,AccountsOfficer,2023-05-26,UnderUtilised
25,CAMPA,Circle-North,Div-F,Range-8,2018,Equipment,14835000.00,9375387.02,RangeOfficer,2018-12-19,Normal
26,FireManagement,Circle-West,Div-A,Range-4,2018,Salary,3345000.00,1108967.83,APCCF-Finance,2019-03-27,UnderUtilised
27,EcoTourism,Circle-West,Div-F,Range-7,2025,Works,3883000.00,2118658.59,CF,2026-02-18,UnderUtilised
28,GreenIndiaMission,Circle-North,Div-A,Range-8,2020,Protection,8381000.00,6314607.67,CF,2020-11-17,Normal
29,GreenIndiaMission,Circle-East,Div-B,Range-8,2025,Protection,7737000.00,4536877.12,RangeOfficer,2026-03-31,UnderUtilised
30,CAMPA,Circle-South,Div-C,Range-4,2022,Protection,14013000.00,5157114.09,CF,2022-05-11,UnderUtilised
31,EcoTourism,Circle-East,Div-E,Range-7,2025,Salary,3220000.00,1367957.60,AccountsOfficer,2025-07-15,UnderUtilised
32,GreenIndiaMission,Circle-East,Div-C,Range-10,2021,Plantation,9778000.00,3143070.53,RangeOfficer,2021-08-09,UnderUtilised
33,TeakImprovement,Circle-South,Div-B,Range-10,2022,Equipment,7595000.00,7637144.68,AccountsOfficer,2022-10-23,OverUtilised
34,FireManagement,Circle-West,Div-E,Range-5,2020,Equipment,3822000.00,1927439.68,CF,2020-07-20,UnderUtilised
35,CAMPA,Circle-East,Div-F,Range-6,2018,Salary,8650000.00,2849754.47,RangeOfficer,2018-11-12,UnderUtilised
36,GreenIndiaMission,Circle-West,Div-B,Range-1,2020,Salary,10604000.00,4694677.58,APCCF-Finance,2020-04-02,UnderUtilised
37,WildlifeProtection,Circle-South,Div-B,Range-10,2024,Community,6758000.00,3591761.99,AccountsOfficer,2024-10-24,UnderUtilised
38,EcoTourism,Circle-South,Div-B,Range-10,2025,Salary,2503000.00,887961.66,AccountsOfficer,2026-03-03,UnderUtilised
39,TeakImprovement,Circle-South,Div-A,Range-8,2025,Protection,9056000.00,7309018.28,CF,2025-08-17,Normal
40,TeakImprovement,Circle-East,Div-C,Range-5,2018,Salary,6729000.00,2959148.40,DFO,2019-03-14,UnderUtilised
41,TeakImprovement,Circle-East,Div-C,Range-6,2018,Works,6188000.00,4153966.71,AccountsOfficer,2018-06-20,Normal
42,CAMPA,Circle-North,Div-B,Range-6,2022,Protection,8052000.00,3584355.83,RangeOfficer,2022-11-03,UnderUtilised
43,CAMPA,Circle-East,Div-B,Range-4,2018,Equipment,11045000.00,7725013.51,CF,2018-04-11,Normal
44,GreenIndiaMission,Circle-East,Div-D,Range-8,2020,Protection,12545000.00,12291284.42,DFO,2020-07-21,Normal
45,GreenIndiaMission,Circle-North,Div-C,Range-7,2021,Protection,13793000.00,12350321.26,DFO,2021-09-28,Normal
46,TeakImprovement,Circle-East,Div-E,Range-1,2024,Equipment,10787000.00,4711197.61,RangeOfficer,2024-12-13,UnderUtilised
47,FireManagement,Circle-South,Div-B,Range-9,2022,Protection,4761000.00,4580512.44,APCCF-Finance,2022-05-13,Normal
48,TeakImprovement,Circle-West,Div-E,Range-3,2023,Community,7875000.00,7480710.87,RangeOfficer,2023-06-07,Normal
49,CAMPA,Circle-West,Div-E,Range-1,2021,Equipment,7867000.00,7833753.32,RangeOfficer,2021-10-07,Normal
50,EcoTourism,Circle-East,Div-A,Range-3,2021,Equipment,2995000.00,2338050.88,AccountsOfficer,2021-07-07,Normal
51,GreenIndiaMission,Circle-South,Div-C,Range-3,2024,Protection,6934000.00,4561882.03,DFO,2025-01-01,Normal
52,FireManagement,Circle-South,Div-A,Range-6,2025,Plantation,8310000.00,7047926.68,CF,2025-10-10,Normal
53,TeakImprovement,Circle-West,Div-A,Range-1,2022,Community,8954000.00,5760988.81,AccountsOfficer,2022-07-26,Normal
54,GreenIndiaMission,Circle-West,Div-F,Range-1,2018,Plantation,23795000.00,9498256.76,APCCF-Finance,2018-11-23,UnderUtilised
55,WildlifeProtection,Circle-West,Div-E,Range-8,2019,Plantation,12613000.00,7330503.59,APCCF-Finance,2019-11-21,UnderUtilised
56,CAMPA,Circle-South,Div-E,Range-6,2019,Equipment,10471000.00,8117685.39,CF,2019-08-14,Normal
57,CAMPA,Circle-East,Div-F,Range-4,2021,Works,17238000.00,14390063.22,CF,2021-04-17,Normal
58,GreenIndiaMission,Circle-East,Div-F,Range-9,2023,Salary,4991000.00,2025216.32,DFO,2023-08-13,UnderUtilised
59,GreenIndiaMission,Circle-West,Div-A,Range-2,2018,Equipment,7911000.00,6552732.09,AccountsOfficer,2018-12-13,Normal
60,EcoTourism,Circle-East,Div-D,Range-1,2023,Works,3656000.00,3166942.29,AccountsOfficer,2023-12-20,Normal
61,EcoTourism,Circle-South,Div-D,Range-4,2018,Equipment,4528000.00,4223135.59,RangeOfficer,2019-01-24,Normal
62,GreenIndiaMission,Circle-North,Div-C,Range-8,2020,Works,7394000.00,3721656.13,APCCF-Finance,2020-09-01,UnderUtilised
63,TeakImprovement,Circle-North,Div-D,Range-3,2021,Works,5879000.00,2460653.64,CF,2021-07-23,UnderUtilised
64,EcoTourism,Circle-North,Div-B,Range-9,2019,Equipment,2933000.00,2553623.05,CF,2020-03-24,Normal
65,GreenIndiaMission,Circle-South,Div-E,Range-1,2019,Works,10362000.00,7523008.90,CF,2019-07-14,Normal
66,FireManagement,Circle-North,Div-D,Range-5,2023,Equipment,3704000.00,3291391.05,DFO,2024-01-21,Normal
67,FireManagement,Circle-North,Div-D,Range-10,2025,Works,3099000.00,2418534.47,APCCF-Finance,2025-11-28,Normal
