documentId,referenceCode,department,category,subject,shortTitle,longTitle,year,issueDate,effectiveToOrBlank,status,jurisdiction,pageCount,tagsSemicolonSeparated
1,R-CIR-2019-089,Revenue,Circular,Land Allotment,Land Allotment – Circular,Revenue Department Circular on Land Allotment,2019,2021-06-12,,Active,Circle-East,54,campa;teak
2,P-ORD-2012-510,Planning,Order,Land Allotment,Land Allotment – Order,Planning Department Order on Land Allotment,2012,2017-05-21,,Active,Circle-West,54,community;fire;rules;wildlife
3,P-OM-2016-557,Planning,OM,Digital Monitoring,Digital Monitoring – OM,Planning Department OM on Digital Monitoring,2016,2025-02-11,,Active,Circle-South,66,budget;offence
4,P-GUI-2019-775,Planning,Guideline,Fire Management,Fire Management – Guideline,Planning Department Guideline on Fire Management,2019,2016-09-17,,Active,Circle-East,51,campa;marketing;offence;plantation
5,F-ORD-2014-706,Finance,Order,Eco Tourism,Eco Tourism – Order,Finance Department Order on Eco Tourism,2014,2017-08-22,,Active,Circle-West,51,budget;patrol
6,P-OM-2014-329,Planning,OM,Eco Tourism,Eco Tourism – OM,Planning Department OM on Eco Tourism,2014,2025-09-05,,Active,Circle-North,86,marketing;rules;teak
7,P-OM-2014-447,Planning,OM,Climate Mission,Climate Mission – OM,Planning Department OM on Climate Mission,2014,2013-05-20,,Active,Statewide,112,plantation;teak
8,F-CIR-2011-972,Finance,Circular,Teak Plantation,Teak Plantation – Circular,Finance Department Circular on Teak Plantation,2011,2010-11-12,,Active,Statewide,20,community;plantation
9,F-ORD-2010-749,Finance,Order,CAMPA Utilisation,CAMPA Utilisation – Order,Finance Department Order on CAMPA Utilisation,2010,2014-04-28,,Active,Statewide,17,campa;plantation
10,W-CIR-2017-207,Wildlife,Circular,Budget Release,Budget Release – Circular,Wildlife Department Circular on Budget Release,2017,2014-07-24,,Active,Circle-West,32,marketing;offence;wildlife
11,F-GUI-2018-323,Forest,Guideline,CAMPA Utilisation,CAMPA Utilisation – Guideline,Forest Department Guideline on CAMPA Utilisation,2018,2015-03-10,,Active,Statewide,115,budget;digital;eco
12,W-NOT-2013-446,Wildlife,Notification,Budget Release,Budget Release – Notification,Wildlife Department Notification on Budget Release,2013,2011-03-08,,Active,Circle-East,101,land;patrol
13,P-ORD-2015-353,Planning,Order,Fire Management,Fire Management – Order,Planning Department Order on Fire Management,2015,2023-12-05,,Active,Circle-West,12,community;teak;wildlife
14,P-ORD-2017-836,Planning,Order,Digital Monitoring,Digital Monitoring – Order,Planning Department Order on Digital Monitoring,2017,2019-12-30,2024-02-14,Superseded,Circle-West,84,fire;rules;teak
15,P-CIR-2024-709,Planning,Circular,Climate Mission,Climate Mission – Circular,Planning Department Circular on Climate Mission,2024,2016-12-31,2019-03-09,Superseded,Circle-North,41,campa;wildlife
16,R-ORD-2013-817,Revenue,Order,Wildlife Protection,Wildlife Protection – Order,Revenue Department Order on Wildlife Protection,2013,2015-08-14,,Active,Circle-South,2,land;wildlife
17,W-OM-2018-258,Wildlife,OM,Wildlife Protection,Wildlife Protection – OM,Wildlife Department OM on Wildlife Protection,2018,2022-02-24,,Active,Circle-East,60,campa;patrol;wildlife
