ruleId,priorityScore,effectiveFrom,effectiveToOrBlank,jurisdiction,minLevel,maxLevel,domain,actionType,minThreshold,maxThreshold,requiresWrittenOrder,requiresLegalVet,primaryApproverRole,secondaryApproverRole,citationCode,shortTitle
1,58,2024-09-16,,Circle-East,Circle,Circle,Wildlife,LandUseChange,50.00,1050.00,0,1,CF,PCCF,RULE-WI-0001,Wildlife LandUseChange threshold rule 1
2,89,2022-02-11,2026-02-11,Circle-East,Range,Range,Transport,PermitIssue,0.00,50.00,1,1,RO,,RULE-TR-0002,Transport PermitIssue threshold rule 2
3,42,2019-12-10,,Circle-North,Range,Circle,Land,PermitIssue,500.00,525.00,1,1,PCCF,,RULE-LA-0003,Land PermitIssue threshold rule 3
4,11,2022-12-09,2029-12-09,Circle-North,Division,Division,Timber,LandUseChange,0.00,1000.00,1,1,RO,,RULE-TI-0004,Timber LandUseChange threshold rule 4
5,88,2015-01-03,2016-01-03,Circle-East,Circle,HeadOffice,Land,PermitIssue,100.00,150.00,0,1,RO,RO,RULE-LA-0005,Land PermitIssue threshold rule 5
6,53,2023-07-02,,Circle-North,Range,Range,Timber,PermitIssue,50.00,550.00,1,0,APCCF,,RULE-TI-0006,Timber PermitIssue threshold rule 6
7,94,2023-08-18,2029-08-18,Circle-East,Beat,Circle,Land,TransportPass,0.00,250.00,0,0,PCCF,RO,RULE-LA-0007,Land TransportPass threshold rule 7
8,27,2017-02-06,,Circle-West,Beat,Beat,Wildlife,TransportPass,50.00,150.00,1,0,LegalOfficer,RO,RULE-WI-0008,Wildlife TransportPass threshold rule 8
9,10,2016-01-05,2022-01-05,Circle-North,Beat,HeadOffice,Budget,OffenceCompounding,100.00,600.00,1,0,LegalOfficer,,RULE-BU-0009,Budget OffenceCompounding threshold rule 9
10,50,2017-01-18,,Circle-South,Range,Division,Fire,TransportPass,10.00,1010.00,1,0,APCCF,,RULE-FI-0010,Fire TransportPass threshold rule 10
11,54,2015-07-14,2016-07-14,Circle-West,Division,Division,Fire,FireClearance,50.00,150.00,1,0,APCCF,DFO,RULE-FI-0011,Fire FireClearance threshold rule 11
12,93,2025-12-16,2027-12-16,Circle-East,Beat,Division,Wildlife,TransportPass,500.00,525.00,1,0,DFO,DFO,RULE-WI-0012,Wildlife TransportPass threshold rule 12
13,37,2019-02-19,,Circle-North,Beat,Division,Wildlife,BudgetSanction,25.00,1025.00,1,1,RO,,RULE-WI-0013,Wildlife BudgetSanction threshold rule 13
14,61,2025-03-17,,Circle-South,Beat,Beat,Transport,FireClearance,0.00,1000.00,1,0,DFO,,RULE-TR-0014,Transport FireClearance threshold rule 14
15,10,2020-01-30,,Statewide,Range,Circle,Budget,PermitIssue,500.00,1000.00,0,0,APCCF,,RULE-BU-0015,Budget PermitIssue threshold rule 15
