heap_index,case_id,species,condition,triage_level,age_years,temperature_c,resp_rate_min,heart_rate_bpm,trauma_severity_0_3,infectious_suspect,pregnant,priority_score
1,ANM_0340,LEOPARD,FEVER,RED_IMMEDIATE,3.3,36.5,41,103,3,YES,YES,115.0
2,ANM_0734,PEAFOWL,TRAUMA,RED_IMMEDIATE,6.4,39.9,79,176,3,YES,NO,109.0
3,ANM_0803,WILD_BOAR,OBSTETRIC,RED_IMMEDIATE,10.4,36.1,47,106,3,YES,NO,110.0
4,ANM_0276,HYENA,FEVER,RED_IMMEDIATE,2.9,37.4,69,177,3,NO,YES,107.0
5,ANM_0740,GAUR,OBSTETRIC,RED_IMMEDIATE,2.3,36.8,51,146,3,YES,NO,105.0
6,ANM_0854,OTTER,FEVER,RED_IMMEDIATE,3.7,40.1,70,163,3,NO,NO,102.0
7,ANM_0937,BLACKBUCK,NEURO,RED_IMMEDIATE,3.7,40.7,53,135,3,YES,NO,110.0
8,ANM_0268,BLACKBUCK,GI,RED_IMMEDIATE,7.4,37.0,57,169,3,YES,NO,105.0
9,ANM_0625,WILD_DOG,RESPIRATORY,RED_IMMEDIATE,0.5,41.0,35,185,3,YES,NO,106.0
10,ANM_0163,SAMBAR_DEER,NEURO,RED_IMMEDIATE,9.5,37.7,66,86,2,YES,NO,96.0
11,ANM_0738,HORNBILL,FEVER,RED_IMMEDIATE,6.8,36.3,79,120,3,NO,NO,102.0
12,ANM_0401,LANGUR,TRAUMA,RED_IMMEDIATE,8.0,36.0,42,134,2,NO,YES,100.0
13,ANM_0858,CHITAL,NEURO,RED_IMMEDIATE,9.8,40.2,41,117,3,NO,NO,98.0
14,ANM_0902,TIGER,TRAUMA,RED_IMMEDIATE,8.4,38.6,61,133,3,YES,NO,104.0
15,ANM_0252,BLACKBUCK,TRAUMA,RED_IMMEDIATE,4.4,36.5,58,143,3,YES,NO,105.0
16,ANM_0522,WILD_DOG,NEURO,RED_IMMEDIATE,4.0,38.4,51,84,2,YES,NO,92.0
17,ANM_0068,SAMBAR_DEER,OBSTETRIC,RED_IMMEDIATE,11.4,36.4,66,164,3,NO,NO,102.0
18,ANM_0144,BARASINGHA,NEURO,RED_IMMEDIATE,7.8,36.2,65,172,3,NO,NO,102.0
19,ANM_0309,LEOPARD,GI,RED_IMMEDIATE,5.7,37.4,74,139,2,YES,NO,101.0
20,ANM_0332,BARASINGHA,TRAUMA,RED_IMMEDIATE,7.1,40.6,69,88,2,NO,NO,94.0
21,ANM_0672,CROCODILE,FEVER,RED_IMMEDIATE,11.5,39.8,25,61,3,NO,NO,89.0
22,ANM_0716,WILD_DOG,GI,ORANGE_VERY_URGENT,3.6,36.8,63,120,3,YES,YES,99.0
23,ANM_0378,TIGER,NEURO,RED_IMMEDIATE,8.9,37.1,76,148,2,YES,NO,101.0
24,ANM_0049,CROCODILE,GI,RED_IMMEDIATE,3.1,40.2,49,94,3,NO,NO,98.0
25,ANM_0812,CROCODILE,FEVER,RED_IMMEDIATE,8.9,38.8,39,82,3,NO,NO,84.0
26,ANM_0840,TIGER,FEVER,RED_IMMEDIATE,4.4,38.8,29,134,3,YES,NO,96.0
27,ANM_0877,TIGER,GI,RED_IMMEDIATE,0.4,40.1,63,76,1,NO,YES,96.0
28,ANM_0463,WILD_DOG,OBSTETRIC,RED_IMMEDIATE,8.5,40.6,55,132,2,NO,NO,90.0
29,ANM_0473,SAMBAR_DEER,GI,ORANGE_VERY_URGENT,7.0,36.3,71,168,3,NO,YES,92.0
30,ANM_0969,BLACKBUCK,NEURO,RED_IMMEDIATE,1.5,37.8,80,149,3,YES,NO,104.0
31,ANM_0250,HYENA,NEURO,RED_IMMEDIATE,3.4,37.9,70,99,3,NO,YES,102.0
32,ANM_0527,WILD_BOAR,FEVER,RED_IMMEDIATE,6.1,39.9,28,94,3,NO,NO,89.0
33,ANM_0265,GAUR,FEVER,ORANGE_VERY_URGENT,5.6,37.0,50,149,3,YES,NO,85.0
34,ANM_0545,TIGER,FEVER,RED_IMMEDIATE,9.4,36.7,74,180,2,YES,NO,101.0
35,ANM_0142,NILGAI,FEVER,RED_IMMEDIATE,10.4,40.3,59,189,3,NO,NO,98.0
36,ANM_0146,WILD_BOAR,FEVER,ORANGE_VERY_URGENT,10.2,40.8,58,98,2,YES,NO,82.0
37,ANM_0599,BLACKBUCK,OBSTETRIC,RED_IMMEDIATE,6.1,39.7,65,188,2,NO,NO,89.0
38,ANM_0619,LANGUR,NEURO,ORANGE_VERY_URGENT,0.6,36.4,66,124,3,YES,NO,94.0
39,ANM_0157,NILGAI,RESPIRATORY,RED_IMMEDIATE,11.2,40.2,61,145,1,YES,NO,98.0
40,ANM_0325,MACAQUE,TRAUMA,RED_IMMEDIATE,4.7,38.1,61,194,1,NO,NO,76.0
41,ANM_0661,CHITAL,TRAUMA,ORANGE_VERY_URGENT,3.6,40.8,59,101,2,YES,NO,82.0
42,ANM_0010,OTTER,OBSTETRIC,ORANGE_VERY_URGENT,7.1,40.5,45,152,1,NO,YES,72.0
43,ANM_0174,WILD_BOAR,OBSTETRIC,ORANGE_VERY_URGENT,9.3,39.5,33,133,3,YES,YES,86.0
44,ANM_0178,HORNBILL,TRAUMA,RED_IMMEDIATE,4.9,39.6,50,194,3,NO,NO,93.0
45,ANM_0022,RHINO,RESPIRATORY,ORANGE_VERY_URGENT,6.5,36.7,31,131,3,YES,NO,81.0
46,ANM_0186,HORNBILL,RESPIRATORY,ORANGE_VERY_URGENT,8.7,39.7,75,148,3,YES,NO,89.0
47,ANM_0094,CROCODILE,OBSTETRIC,ORANGE_VERY_URGENT,1.4,40.2,26,194,3,YES,YES,96.0
48,ANM_0388,SAMBAR_DEER,GI,RED_IMMEDIATE,9.8,40.4,74,134,2,NO,NO,94.0
49,ANM_0787,CHITAL,OBSTETRIC,ORANGE_VERY_URGENT,7.7,36.1,76,198,2,YES,NO,86.0
50,ANM_0808,ELEPHANT,GI,RED_IMMEDIATE,7.7,40.6,21,128,0,YES,NO,82.0
51,ANM_0816,ELEPHANT,OBSTETRIC,RED_IMMEDIATE,10.0,39.4,63,91,2,NO,NO,84.0
52,ANM_0842,SLOTH_BEAR,RESPIRATORY,RED_IMMEDIATE,10.1,40.6,21,95,3,NO,NO,94.0
53,ANM_0429,RHINO,TRAUMA,RED_IMMEDIATE,7.2,38.7,80,81,2,YES,NO,96.0
54,ANM_0872,WILD_DOG,GI,RED_IMMEDIATE,3.2,39.5,28,143,3,NO,YES,94.0
55,ANM_0447,PEAFOWL,RESPIRATORY,RED_IMMEDIATE,3.2,36.9,45,64,2,NO,NO,85.0
56,ANM_0905,RHINO,FEVER,RED_IMMEDIATE,0.6,37.2,51,85,0,YES,NO,81.0
57,ANM_0228,WILD_BOAR,OBSTETRIC,ORANGE_VERY_URGENT,5.1,36.7,44,107,3,YES,NO,85.0
58,ANM_0929,SLOTH_BEAR,TRAUMA,ORANGE_VERY_URGENT,6.3,37.7,47,98,3,YES,YES,90.0
59,ANM_0237,MACAQUE,GI,ORANGE_VERY_URGENT,9.6,36.8,66,199,3,YES,NO,89.0
60,ANM_0964,NILGAI,OBSTETRIC,RED_IMMEDIATE,8.3,36.3,73,147,3,NO,NO,102.0
61,ANM_0977,GAUR,FEVER,RED_IMMEDIATE,6.9,40.0,64,108,3,NO,NO,97.0
62,ANM_0497,TIGER,RESPIRATORY,RED_IMMEDIATE,0.4,37.1,46,139,3,NO,NO,93.0
63,ANM_0505,OTTER,TRAUMA,ORANGE_VERY_URGENT,2.9,40.9,70,148,3,NO,YES,92.0
64,ANM_0513,LANGUR,NEURO,RED_IMMEDIATE,6.8,40.7,46,154,0,NO,NO,74.0
65,ANM_0520,WILD_DOG,FEVER,RED_IMMEDIATE,9.9,39.4,37,190,1,YES,NO,80.0
