Animal_ID,Species,Risk_Score,Zone,Age_Years,Last_Check,Health_Score
0,Tiger,7,Zone-1,9,04-12-2025,69
1,Elephant,6,Zone-2,21,15-11-2025,95
2,Bear,10,Zone-3,23,27-11-2025,93
3,Leopard,4,Zone-4,3,21-11-2025,98
4,Wolf,8,Zone-5,25,04-12-2025,52
5,Tiger,4,Zone-1,8,06-12-2025,66
6,Elephant,10,Zone-2,14,18-11-2025,96
7,Bear,8,Zone-3,11,12-11-2025,98
8,Leopard,8,Zone-4,9,14-11-2025,71
9,Wolf,2,Zone-5,25,11-12-2025,69
10,Tiger,9,Zone-1,9,13-11-2025,84
11,Elephant,1,Zone-2,19,02-12-2025,94
12,Bear,8,Zone-3,24,16-11-2025,63
13,Leopard,2,Zone-4,18,09-12-2025,72
14,Wolf,7,Zone-5,1,14-11-2025,71
15,Tiger,5,Zone-1,6,26-11-2025,53
16,Elephant,8,Zone-2,20,17-11-2025,87
17,Bear,6,Zone-3,19,19-11-2025,69
18,Leopard,8,Zone-4,14,15-11-2025,57
19,Wolf,2,Zone-5,4,10-12-2025,80
20,Tiger,10,Zone-1,16,29-11-2025,69
21,Elephant,8,Zone-2,12,02-12-2025,93
22,Bear,6,Zone-3,14,01-12-2025,79
23,Leopard,3,Zone-4,17,23-11-2025,100
24,Wolf,8,Zone-5,5,06-12-2025,74
25,Tiger,10,Zone-1,7,02-12-2025,82
26,Elephant,6,Zone-2,9,20-11-2025,51
27,Bear,4,Zone-3,19,11-12-2025,88
28,Leopard,9,Zone-4,9,20-11-2025,74
29,Wolf,9,Zone-5,12,18-11-2025,76
30,Tiger,1,Zone-1,14,29-11-2025,96
31,Elephant,10,Zone-2,24,22-11-2025,61
32,Bear,7,Zone-3,3,05-12-2025,83
33,Leopard,3,Zone-4,14,16-11-2025,85
34,Wolf,8,Zone-5,2,22-11-2025,99
35,Tiger,8,Zone-1,15,13-11-2025,79
36,Elephant,8,Zone-2,20,30-11-2025,79
37,Bear,1,Zone-3,25,21-11-2025,63
38,Leopard,10,Zone-4,19,13-11-2025,76
39,Wolf,3,Zone-5,13,04-12-2025,81
40,Tiger,8,Zone-1,19,06-12-2025,97
41,Elephant,8,Zone-2,3,20-11-2025,100
42,Bear,2,Zone-3,2,27-11-2025,98
43,Leopard,4,Zone-4,12,08-12-2025,58
44,Wolf,9,Zone-5,20,28-11-2025,61
45,Tiger,3,Zone-1,22,16-11-2025,52
46,Elephant,7,Zone-2,18,13-11-2025,91
47,Bear,3,Zone-3,10,05-12-2025,60
48,Leopard,4,Zone-4,7,20-11-2025,99
49,Wolf,4,Zone-5,2,16-11-2025,59
50,Tiger,4,Zone-1,20,23-11-2025,64
51,Elephant,5,Zone-2,9,29-11-2025,51
52,Bear,7,Zone-3,23,13-11-2025,51
53,Leopard,7,Zone-4,19,03-12-2025,95
54,Wolf,4,Zone-5,22,12-11-2025,50
55,Tiger,7,Zone-1,20,30-11-2025,91
56,Elephant,3,Zone-2,7,01-12-2025,78
57,Bear,9,Zone-3,13,01-12-2025,99
58,Leopard,3,Zone-4,20,02-12-2025,55
59,Wolf,3,Zone-5,17,01-12-2025,65
60,Tiger,8,Zone-1,23,15-11-2025,53
61,Elephant,1,Zone-2,13,14-11-2025,66
62,Bear,5,Zone-3,17,13-11-2025,85
63,Leopard,6,Zone-4,10,24-11-2025,80
64,Wolf,6,Zone-5,8,08-12-2025,57
65,Tiger,10,Zone-1,21,17-11-2025,98
66,Elephant,9,Zone-2,1,03-12-2025,60
67,Bear,6,Zone-3,12,02-12-2025,59
68,Leopard,9,Zone-4,1,01-12-2025,65
69,Wolf,8,Zone-5,14,17-11-2025,69
70,Tiger,3,Zone-1,12,01-12-2025,51
71,Elephant,8,Zone-2,18,14-11-2025,77
72,Bear,9,Zone-3,17,21-11-2025,78
73,Leopard,9,Zone-4,13,11-12-2025,93
74,Wolf,3,Zone-5,2,04-12-2025,96
75,Tiger,10,Zone-1,5,06-12-2025,57
76,Elephant,4,Zone-2,3,12-11-2025,80
77,Bear,1,Zone-3,3,22-11-2025,95
78,Leopard,6,Zone-4,18,29-11-2025,76
79,Wolf,4,Zone-5,19,17-11-2025,86
80,Tiger,3,Zone-1,18,16-11-2025,80
81,Elephant,10,Zone-2,17,17-11-2025,80
82,Bear,3,Zone-3,17,26-11-2025,62
83,Leopard,2,Zone-4,9,16-11-2025,60
84,Wolf,5,Zone-5,19,30-11-2025,76
85,Tiger,3,Zone-1,19,15-11-2025,57
86,Elephant,8,Zone-2,22,23-11-2025,75
