index,node_type,zone,corridor,facility_name,gps_lat,gps_lon,criticality_level,resource_type,capacity_units,final_stock_units
1,WATER_RESERVOIR,CORE_FOREST,RIVER_EAST,WATER_RESERVOIR_0001,15.23647,77.1767,HIGH,WATER,19870.0,15772.44
2,WATER_RESERVOIR,CORE_FOREST,WEST_VALLEY,WATER_RESERVOIR_0002,14.52654,76.69884,MEDIUM,WATER,19856.0,12660.51
3,FIELD_DEPOT,HILL_RANGE,RIVER_EAST,FIELD_DEPOT_0003,14.65966,76.92261,LOW,WATER,11105.0,5305.3
4,MOBILE_VET_UNIT,CORE_FOREST,SOUTH_RIDGE,MOBILE_VET_UNIT_0004,15.34749,77.10373,HIGH,VACCINE,555.0,555.0
5,FIELD_DEPOT,CORE_FOREST,LAKE_SECTOR,FIELD_DEPOT_0005,15.11852,77.36171,LOW,VACCINE,4929.0,2707.22
6,WATER_RESERVOIR,CORE_FOREST,WEST_VALLEY,WATER_RESERVOIR_0006,15.35532,77.36648,LOW,VACCINE,3313.0,2278.31
7,MOBILE_VET_UNIT,BUFFER_VILLAGE,RIVER_WEST,MOBILE_VET_UNIT_0007,14.76698,77.43665,HIGH,VACCINE,784.0,411.03
8,CLINIC,BUFFER_VILLAGE,HIGHWAY_SOUTH,CLINIC_0008,15.42539,77.18816,MEDIUM,VACCINE,1999.0,1656.81
9,WATER_RESERVOIR,BUFFER_VILLAGE,NORTH_RIDGE,WATER_RESERVOIR_0009,14.56619,77.41314,MEDIUM,VACCINE,4846.0,4177.6
10,MOBILE_VET_UNIT,BUFFER_VILLAGE,HIGHWAY_SOUTH,MOBILE_VET_UNIT_0010,15.14285,76.64287,LOW,VACCINE,1343.0,1047.08
11,MOBILE_VET_UNIT,HILL_RANGE,HIGHWAY_NORTH,MOBILE_VET_UNIT_0011,14.71932,77.49754,MEDIUM,MEDICAL_KIT,571.0,404.89
12,WATER_RESERVOIR,CORE_FOREST,EAST_VALLEY,WATER_RESERVOIR_0012,15.18048,77.09641,HIGH,MEDICAL_KIT,444.0,444.0
13,MOBILE_VET_UNIT,HILL_RANGE,NORTH_RIDGE,MOBILE_VET_UNIT_0013,15.18171,77.03697,MEDIUM,MEDICAL_KIT,323.0,304.73
14,MOBILE_VET_UNIT,CORE_FOREST,RIVER_EAST,MOBILE_VET_UNIT_0014,14.50325,77.22209,HIGH,VACCINE,2357.0,2357.0
