blockId,zone,blockType,siteQuality,agroZone,soilClass,slopeClass,areaHa,plantingYear,rotationAge,firstThinningYear,secondThinningYear,finalHarvestYear,treesPerHa,avgDBH_cm,avgHeight_m,stocking_m3_per_ha,heartwoodShare_pct,riskIndex,roadDistance_km,marketDistance_km,nextOperationType,nextOperationYear,priorityScore
0,Zone-1,Estate,Good,Low Rainfall,Loam,Gentle,18.68,2016,30,2023,2032,2046,1111,10.3,8.6,33.09,15.3,58.1,11.27,58.7,SecondThinning,2032,93.6
1,Zone-5,Block,Medium,Medium Rainfall,Clay,Flat,19.21,2000,25,2010,2014,2025,1111,28.1,31.5,340.07,48.4,42.8,2.02,68.56,FinalHarvestOverdue,2025,96.6
2,Zone-5,Boundary,Poor,High Rainfall,Laterite,Flat,24.35,2007,18,2016,2023,2025,625,26.9,16.9,221.4,32.9,42.1,13.26,62.98,FinalHarvestOverdue,2025,99.2
3,Zone-1,Farmer,Poor,Medium Rainfall,Clay,Steep,16.26,2006,19,2015,2020,2025,1111,24.7,19.6,157.44,39.8,42.1,12.74,45.06,FinalHarvestOverdue,2025,98.8
4,Zone-2,Farmer,Excellent,Medium Rainfall,Clay,Gentle,17.43,2019,25,2027,2031,2044,816,13.2,8.4,38.65,16.1,57.0,14.39,20.95,FirstThinning,2027,100.0
5,Zone-4,Block,Excellent,Low Rainfall,Clay,Gentle,6.92,2012,33,2021,2028,2045,1111,27.0,17.2,64.27,23.2,69.9,10.24,11.82,SecondThinning,2028,98.8
6,Zone-1,Estate,Medium,High Rainfall,Loam,Steep,15.31,2007,23,2017,2023,2030,1111,27.7,20.9,177.27,31.1,61.6,13.67,45.27,FinalHarvest,2030,96.1
7,Zone-3,Boundary,Poor,Medium Rainfall,Laterite,Gentle,11.89,2018,20,2026,2034,2038,625,17.3,13.2,54.3,12.0,59.2,12.22,16.46,FirstThinning,2026,100.0
8,Zone-2,Estate,Good,Medium Rainfall,Sandy,Flat,23.3,2020,26,2028,2032,2046,1600,9.4,7.8,34.17,10.0,54.6,1.48,62.05,FirstThinning,2028,98.5
9,Zone-2,Farmer,Excellent,High Rainfall,Loam,Moderate,13.66,2014,31,2022,2030,2045,625,24.9,19.7,134.01,21.0,60.2,7.53,72.47,SecondThinning,2030,95.6
10,Zone-4,Estate,Medium,Low Rainfall,Sandy,Moderate,1.5,2012,21,2020,2024,2033,1600,25.1,14.5,10.92,21.7,40.9,6.68,43.56,FinalHarvest,2033,89.8
11,Zone-3,Block,Medium,High Rainfall,Loam,Steep,6.83,2010,23,2018,2022,2033,1600,24.6,16.8,56.45,29.1,65.9,1.18,54.01,FinalHarvest,2033,94.0
12,Zone-1,Estate,Excellent,High Rainfall,Clay,Flat,6.97,2001,33,2011,2014,2034,1111,28.7,25.6,102.42,51.7,42.3,16.18,69.2,FinalHarvest,2034,87.3
13,Zone-1,Estate,Poor,Low Rainfall,Loam,Gentle,10.75,2010,19,2020,2022,2029,1600,21.8,21.9,102.65,27.7,63.5,9.15,36.73,FinalHarvest,2029,99.1
14,Zone-5,Block,Medium,Low Rainfall,Clay,Gentle,24.25,2013,25,2020,2027,2038,1600,18.5,17.8,159.71,28.2,55.9,1.23,43.09,SecondThinning,2027,97.2
15,Zone-2,Estate,Poor,High Rainfall,Loam,Steep,3.88,2013,19,2020,2029,2032,1600,22.2,18.7,32.21,24.2,68.0,4.16,58.71,SecondThinning,2029,100.0
16,Zone-2,Boundary,Excellent,Low Rainfall,Clay,Steep,8.59,2019,26,2026,2034,2045,625,15.0,11.4,29.38,10.0,56.1,10.17,14.93,FirstThinning,2026,100.0
17,Zone-3,Estate,Medium,Medium Rainfall,Clay,Gentle,11.52,2012,25,2021,2028,2037,1600,24.7,18.4,104.71,30.3,43.1,17.57,24.83,SecondThinning,2028,93.6
18,Zone-1,Farmer,Good,Medium Rainfall,Loam,Moderate,5.89,2015,26,2025,2029,2041,1111,10.7,10.5,13.23,17.8,40.1,15.45,52.78,SecondThinning,2029,94.6
19,Zone-3,Farmer,Excellent,High Rainfall,Laterite,Flat,3.68,2017,27,2024,2031,2044,625,14.4,10.6,11.23,11.4,50.9,18.67,77.91,SecondThinning,2031,94.4
20,Zone-1,Boundary,Medium,High Rainfall,Loam,Flat,9.49,2012,23,2020,2025,2035,625,26.6,21.8,110.06,29.1,66.4,0.59,60.24,FinalHarvest,2035,92.1
21,Zone-3,Block,Medium,Medium Rainfall,Loam,Flat,10.18,1996,23,2004,2009,2019,1111,32.0,29.8,194.15,61.7,46.7,13.23,34.88,FinalHarvestOverdue,2025,98.1
22,Zone-3,Estate,Good,Medium Rainfall,Laterite,Moderate,23.54,1998,26,2006,2014,2024,1111,25.8,27.2,330.39,52.5,63.6,8.78,78.82,FinalHarvestOverdue,2025,100.0
23,Zone-1,Block,Medium,Medium Rainfall,Sandy,Steep,1.04,2020,24,2028,2034,2044,1111,5.3,6.7,0.74,10.0,49.4,16.98,58.98,FirstThinning,2028,95.3
24,Zone-3,Boundary,Excellent,Medium Rainfall,Laterite,Moderate,14.31,2001,31,2011,2014,2032,625,37.3,23.6,251.94,48.5,40.0,5.81,37.24,FinalHarvest,2032,89.6
