Sample_ID,Log_Type,Pattern,Start_Index
S2,STRESS,HHLH,17
S2,STRESS,HHLH,25
S2,STRESS,HHLH,32
S2,STRESS,HHLH,70
S4,STRESS,HHLH,5
S4,STRESS,HHLH,22
S4,STRESS,HHLH,32
S4,STRESS,HHLH,35
S4,STRESS,HHLH,49
S4,STRESS,HHLH,69
S6,STRESS,HHLH,7
S6,STRESS,HHLH,28
S6,STRESS,HHLH,55
S6,STRESS,HHLH,66
S8,STRESS,HHLH,1
S8,STRESS,HHLH,4
S8,STRESS,HHLH,7
S8,STRESS,HHLH,37
S8,STRESS,HHLH,40
S8,STRESS,HHLH,43
S8,STRESS,HHLH,50
S10,STRESS,HHLH,5
S10,STRESS,HHLH,8
S10,STRESS,HHLH,11
S10,STRESS,HHLH,14
S10,STRESS,HHLH,61
S10,STRESS,HHLH,76
S12,STRESS,HHLH,40
S12,STRESS,HHLH,59
S14,STRESS,HHLH,23
S14,STRESS,HHLH,47
S14,STRESS,HHLH,51
S14,STRESS,HHLH,68
S14,STRESS,HHLH,72
S16,STRESS,HHLH,57
S16,STRESS,HHLH,70
S18,STRESS,HHLH,4
S18,STRESS,HHLH,9
S18,STRESS,HHLH,30
S18,STRESS,HHLH,37
S18,STRESS,HHLH,42
S18,STRESS,HHLH,45
S18,STRESS,HHLH,53
S20,STRESS,HHLH,11
S20,STRESS,HHLH,41
S22,STRESS,HHLH,7
S22,STRESS,HHLH,11
S22,STRESS,HHLH,32
S22,STRESS,HHLH,37
S22,STRESS,HHLH,69
S24,STRESS,HHLH,2
S24,STRESS,HHLH,9
S24,STRESS,HHLH,34
S24,STRESS,HHLH,42
S24,STRESS,HHLH,65
S26,STRESS,HHLH,22
S26,STRESS,HHLH,41
S26,STRESS,HHLH,47
S26,STRESS,HHLH,53
S26,STRESS,HHLH,56
S26,STRESS,HHLH,59
S26,STRESS,HHLH,65
S26,STRESS,HHLH,68
S28,STRESS,HHLH,5
S28,STRESS,HHLH,13
S28,STRESS,HHLH,49
S28,STRESS,HHLH,60
S30,STRESS,HHLH,0
S30,STRESS,HHLH,3
S30,STRESS,HHLH,49
S30,STRESS,HHLH,52
S30,STRESS,HHLH,73
S32,STRESS,HHLH,5
S32,STRESS,HHLH,13
S32,STRESS,HHLH,16
S32,STRESS,HHLH,19
S32,STRESS,HHLH,39
S32,STRESS,HHLH,44
S32,STRESS,HHLH,52
S32,STRESS,HHLH,70
S34,STRESS,HHLH,7
S34,STRESS,HHLH,23
S34,STRESS,HHLH,35
S34,STRESS,HHLH,45
S34,STRESS,HHLH,52
S34,STRESS,HHLH,56
S36,STRESS,HHLH,13
S36,STRESS,HHLH,56
S36,STRESS,HHLH,71
S36,STRESS,HHLH,74
S38,STRESS,HHLH,24
S38,STRESS,HHLH,37
S40,STRESS,HHLH,0
S40,STRESS,HHLH,14
S40,STRESS,HHLH,38
S40,STRESS,HHLH,59
S40,STRESS,HHLH,67
S42,STRESS,HHLH,0
