parent_project,child_project
AI,AI_Sub_0
AI,AI_Sub_1
AI,AI_Sub_2
AI,AI_Sub_3
AI,AI_Sub_4
Energy,Energy_Sub_0
Energy,Energy_Sub_1
Energy,Energy_Sub_2
Energy,Energy_Sub_3
Energy,Energy_Sub_4
Agro,Agro_Sub_0
Agro,Agro_Sub_1
Agro,Agro_Sub_2
Agro,Agro_Sub_3
Agro,Agro_Sub_4
Health,Health_Sub_0
Health,Health_Sub_1
Health,Health_Sub_2
Health,Health_Sub_3
Health,Health_Sub_4
Robotics,Robotics_Sub_0
Robotics,Robotics_Sub_1
Robotics,Robotics_Sub_2
Robotics,Robotics_Sub_3
Robotics,Robotics_Sub_4
