from,to,distance
13,48,2
26,79,9
68,108,14
22,56,12
95,99,1
1,11,10
27,8,12
82,39,4
25,65,16
72,11,7
104,111,12
113,106,13
16,14,10
86,42,12
21,109,8
14,86,2
83,55,11
38,37,13
81,107,16
37,57,20
7,38,11
21,78,7
86,108,14
114,97,20
87,109,1
53,60,11
102,76,6
44,63,10
87,1,19
5,6,20
73,58,8
35,110,13
9,71,3
107,59,5
109,11,2
74,69,10
25,91,10
37,70,15
83,72,1
99,47,4
12,8,8
73,43,11
116,109,5
34,41,16
8,59,9
70,99,2
80,46,5
58,41,9
4,70,3
104,21,3
87,76,4
87,1,14
93,96,4
7,73,14
16,92,11
28,94,8
74,119,12
2,22,10
88,15,14
33,20,4
59,44,2
16,72,19
20,22,17
59,60,8
2,117,13
40,105,10
7,51,19
68,62,6
21,76,1
59,26,11
57,70,4
47,70,15
101,41,4
16,77,11
90,92,8
45,23,17
86,117,2
35,20,1
98,62,12
98,32,9
49,84,16
95,30,8
19,36,12
27,64,4
53,34,13
100,35,5
76,87,5
88,14,9
18,7,13
39,103,15
13,27,7
79,103,16
70,43,6
47,105,15
94,44,11
109,58,2
55,33,1
46,81,15
99,49,16
14,17,1
47,73,11
90,29,14
83,104,6
18,81,12
105,12,17
66,19,7
54,117,2
9,95,12
105,27,2
74,107,1
95,79,18
44,33,6
17,33,16
21,114,12
33,107,16
85,45,3
58,74,4
17,2,12
73,117,3
31,78,6
99,24,17
32,87,5
55,33,6
42,19,18
13,10,16
59,32,10
15,53,7
54,7,8
68,63,2
67,61,4
82,0,14
48,67,15
95,42,18
32,28,15
119,101,9
32,29,20
57,53,16
89,62,5
43,104,16
71,77,18
68,40,19
38,20,10
63,39,1
58,60,19
20,31,11
70,21,19
113,8,7
78,88,5
114,50,3
40,24,6
79,73,4
98,74,1
110,27,10
77,109,4
89,88,17
82,116,13
38,92,8
30,74,12
112,80,5
91,83,9
3,5,6
109,108,9
78,57,18
14,0,1
9,72,11
27,6,9
65,52,3
116,81,3
19,16,9
83,28,5
31,55,19
24,66,14
109,12,2
46,113,15
69,16,2
74,98,8
90,71,8
90,33,18
119,95,12
58,91,20
79,80,13
48,80,19
14,48,14
80,68,7
52,88,3
97,4,7
28,101,4
118,79,1
60,64,11
31,74,13
32,117,3
34,32,12
115,74,12
45,33,11
71,115,19
105,29,8
117,68,4
72,70,11
