AthleteID,Speed,Endurance,Strength,Score,PatternData
1,23,44,89,223,CDABBCDBCDACBBADCBDC
2,12,71,74,206,BADDCBACCDDBDADDADBA
3,16,22,67,154,CACBADBCABDCDBDCBAAA
4,6,93,64,201,DADBBBDBABCCDAACDABC
5,26,61,31,159,CBCDBDACBACBAADDACBC
6,20,45,90,220,CCABCCCDDABABBABCACA
7,19,45,66,182,BBDCCCCBDBDCABACDDAC
8,22,46,24,126,DAADDCBDAACAADCABDDA
9,13,20,50,121,CBABBBBBDBABBAACBDBA
10,8,25,77,156,ACDBAACAACCBBDDBCABC
11,17,50,80,204,BBDBBDDDBCABCABCCADB
12,13,95,98,268,CDCADCABACDADACABADB
13,20,70,33,159,BDDCCBCDBBDCBDAAAADC
14,19,100,67,238,CBCDBBDADADAADCCDBAB
15,29,88,85,273,DDBACAABCBBCBABBABDA
16,24,38,81,207,DCBBBBDDDABCACBAACAB
17,13,49,40,135,DBBCBCCDCBCCCDBBADAD
18,29,43,52,179,BDDBBAADDACBBDACABBC
19,30,20,42,143,ADCBDBBCBADDBCDCADDC
20,27,24,64,174,DAACCCAAADDCBCBBBBCC
21,30,94,33,203,BCABDCCCCBDBDAACCBBC
22,30,41,29,144,CACCBCABBAACDADCADDD
23,27,62,73,225,AACCDADBBABDBAABCBDD
24,7,40,56,138,CBABCABCADABDABBBDAD
25,9,74,42,155,DCAAADBDBCDABADBBBAA
26,9,59,46,146,CBDAAABBDDACABCCBADB
27,13,96,29,165,AAAAABDCAABADDCADCBC
28,19,93,97,276,BCBBDDCABBABDDCCADCC
29,13,52,73,187,BDCBCABCBADDBCCBAACB
30,18,86,33,171,CBDACBDCAACBABDABACC
31,29,53,83,235,ABDDDBBCDCBDDABCDDAA
32,13,75,81,222,CCDBCBACBDDCCAADABCC
33,24,48,78,213,CCCDCDACDBDCCBDDCDDA
34,27,34,20,118,AABDBCBAABABCDCCDACA
35,9,93,88,243,ADBADDDBABBABCBCDBBA
36,18,48,98,231,DBDDCCCBCCCDCBDBDADA
37,19,30,21,99,CDCDBCACBACBBDBACCDB
38,26,98,40,210,BBACACCCAABCBBBDDAAD
39,5,56,65,163,DDDBDDAABDCABCADDCAA
40,5,31,37,96,DDABAACBDAACCDBABAAB
41,29,75,21,164,BCCCABADDACCBBBADADA
42,26,52,48,176,DADCCDCDCCDADADBBACC
43,13,88,97,259,BCBDACCACDBCCACCDBAC
44,17,89,70,228,CCBDADAAAAACCBCABBAD
45,23,44,76,204,BAACCBABBCCDAABCCDAD
46,10,72,63,186,CDACBAABDCDDCCCDBCBD
47,20,24,82,187,BBCDACAADBACDAACBABD
48,12,29,45,120,DACACDDCADADCCBBADAA
49,24,77,43,189,BABDDCABDCADACADCCBB
50,21,86,70,233,CCDCAACADCBBCDACADDD
51,10,57,34,128,ADACAABDADACDBBCDBDC
52,23,24,93,209,CBBDAACBCABCCABADDDC
53,5,68,44,144,BACDCBCBCDDDDCADBDAD
54,15,32,78,179,CBCDCBBAADCCADCDBABC
55,27,38,96,236,ADCCBDCCBCACBCABCCCC
56,26,20,71,178,AABBADCBAADBDABDBACC
57,8,84,96,244,DACDADBDDBCDCCADCBDD
58,9,92,98,257,ADBCCACADBABBCDABDBD
59,20,50,75,202,BCDDCADDDDACDDBBBBAA
60,24,33,34,132,CDDBACBDCBDADCBDCBDB
61,18,71,57,192,AABDBCACBCCABCADABAC
62,16,82,44,180,CDCBBDBDABCACDBDDBBD
63,7,71,53,164,BBCBABADBBDDCADADCAD
64,20,56,68,198,BDBABAABADDABCDBABBD
65,17,76,64,206,BDCBDDDCDAABBBDBDCAA
66,5,27,76,151,DCBABADDDADCABBDCDCC
67,17,24,40,118,DDDCDDDBCBACACBABCCC
68,22,46,53,169,AACADDBACAACBABBCAAB
69,7,51,28,107,DABBDDBDBADCBADADBCC
70,22,43,35,139,ADCBCBCCABBBABDADDBB
71,29,50,26,147,CABACDCDACADDDBDAADD
72,15,56,73,195,CAADCCAACBBCBBDBCACD
73,9,50,55,150,DCCDCABABDDCCACBDDDD
74,21,49,39,149,BCACCCBDBCCDCDCBDDCA
75,20,79,91,255,ABBCCABCAABABBDDCDCD
76,24,69,28,159,DABDADCABABBDDDDCBAB
77,29,63,24,157,CCCBDCBDDCDCAAAAADAD
78,23,78,46,193,CDDBBCABAADDDACBABDD
79,6,80,72,200,CCDDBDADDDDBCBCCBBBA
80,30,23,60,173,BBCABCDABACBABBDADAA
81,30,64,68,226,ACACCCCCDCBBABDDCCDB
82,12,88,50,187,BAAACAAAADBACDBCDACC
83,25,23,86,202,DDDADDBCAACADACDADBA
84,26,45,48,169,DADBAACDAAABCABDAABD
85,6,39,29,94,BABCCCBCCBDCCCDACACD
86,12,66,86,219,BCCBBDAABBBDBACADCAA
87,28,33,90,224,AACAABDCAACBCDACBDDC
88,25,77,56,211,ACBDABDDCBAACDACBBDD
89,8,96,24,148,BDCBBCACBAACDBDBCCBC
90,18,66,20,132,BBCADDBAACDAABCCACDB
91,7,24,45,105,CCABAACCCBDADCBCCDDD
92,28,23,50,154,ACBBDCDDCBABACACADDD
93,6,88,23,134,CCBDDADBDAACCBBBCACD
94,16,31,55,145,ABCCBACDCDDDCBBCCCBA
95,23,21,98,214,DBCCCBADCBACCDCADBCD
96,29,71,77,244,BBDCAABCADBACCCCDAAB
97,28,59,62,208,DDBAACCDCBAACDCDCBDD
98,21,46,44,154,CDBBDBBACBCCAABBADBC
99,28,33,39,147,ADABACCDDADBCBACDABD
100,14,73,45,168,CCADDABDDCBBCBACBDAB
101,28,50,97,251,DAADCDCCADCDABDCCBCD
102,24,89,30,182,CCCDCBBBACDDDADCBDCD
