NodeID,Zone,Conn,Dist,Users,BW
0,N,3657,18,66,4
1,N,434,72,264,29
2,W,106,98,224,36
3,S,1674,12,359,34
4,N,6201,11,410,9
5,N,1307,30,244,36
6,W,6065,46,409,88
7,N,4010,21,162,88
8,E,3752,5,83,28
9,C,8179,51,431,72
10,C,9560,52,310,64
11,N,2504,81,355,9
12,W,8669,33,443,83
13,E,7433,1,495,81
14,E,3258,20,448,68
15,N,1832,47,173,73
16,N,1133,98,134,34
17,C,3470,70,314,58
18,N,344,76,86,91
19,N,5413,10,326,17
20,C,7749,53,99,85
21,W,887,87,177,25
22,S,3006,36,463,71
23,N,241,12,258,63
24,W,960,22,451,59
25,E,9105,85,79,75
26,C,821,75,79,66
27,N,1113,87,111,73
28,S,1343,54,154,86
29,E,4915,59,284,80
30,C,3492,65,85,32
31,E,8900,91,391,71
32,E,2200,34,104,96
33,C,3450,92,308,63
34,E,1512,82,220,99
35,S,7239,71,403,20
36,C,9052,19,236,6
37,E,1684,46,459,23
38,W,5442,53,496,5
39,W,7541,45,62,85
40,S,1137,99,254,87
41,C,4279,23,272,45
42,E,1894,50,50,67
43,C,3228,47,389,16
44,E,5344,52,390,49
45,S,8977,1,270,75
46,C,7244,87,292,95
47,S,5491,12,165,26
48,S,7784,79,283,54
49,C,8099,52,385,89
50,N,1746,100,287,7
51,C,7478,18,212,97
52,W,8270,55,182,97
53,S,8540,63,170,35
54,E,2267,20,405,20
55,S,8890,60,249,99
56,C,9432,49,435,50
57,W,9883,29,298,4
58,W,6624,93,115,80
59,C,9246,85,92,83
60,W,823,34,217,44
61,W,6906,33,290,3
62,C,3673,84,449,84
63,N,3266,3,392,15
64,C,4198,99,360,96
65,N,5096,14,253,92
66,S,3978,14,227,69
67,W,5590,2,235,82
68,W,8548,84,288,56
69,C,1419,36,362,86
70,W,5325,24,224,36
71,C,166,67,173,93
72,W,7800,83,163,52
73,S,7753,71,230,90
74,W,1976,93,111,96
75,C,3138,28,194,13
76,S,4952,2,333,38
77,S,1680,2,224,24
78,N,1869,9,372,88
79,N,4978,11,335,98
80,W,3697,100,490,76
81,W,9988,95,440,27
82,S,3929,23,280,89
83,C,4720,91,401,30
84,E,3241,55,328,29
85,S,1169,8,354,96
86,C,7679,89,306,70
87,W,7078,95,63,12
88,S,9424,76,441,87
89,E,2870,61,273,82
90,W,6690,43,218,53
91,W,9012,5,215,15
92,W,18,85,315,47
93,C,845,27,197,57
94,W,9975,31,258,12
95,S,7560,16,262,62
96,W,6284,25,445,54
97,E,42,37,278,69
98,W,8903,49,342,50
99,S,5213,96,303,5
100,S,1644,57,319,59
101,N,2529,10,382,11
102,E,6226,41,373,88
103,E,7110,13,73,42
104,N,2385,32,139,11
105,C,3945,64,285,33
106,N,4712,87,350,39
107,W,4949,26,245,74
108,E,4837,3,360,96
109,W,3770,78,367,33
110,S,645,40,424,17
111,N,6807,23,452,70
112,E,2695,33,289,10
113,S,6511,72,57,34
114,C,4295,75,291,4
115,C,9995,29,121,6
116,N,1592,31,393,96
117,C,2531,54,403,48
118,S,5942,13,191,25
119,N,1501,85,60,7
120,E,9250,27,474,98
121,C,3817,43,51,36
122,S,2858,15,351,42
123,N,6897,68,431,9
124,W,9726,14,422,85
125,C,510,8,301,92
126,W,9966,19,114,36
127,C,5327,49,359,56
128,N,9033,93,281,30
129,W,6815,94,210,55
130,E,2500,88,97,56
131,N,2131,72,350,72
132,C,5793,86,209,46
133,N,7900,29,229,72
134,E,3705,55,64,24
135,E,5567,45,142,19
136,C,502,12,224,21
137,E,9299,77,76,20
138,S,1336,35,276,54
139,E,5655,56,195,87
140,C,744,29,154,39
141,S,4742,42,53,64
142,W,3770,65,273,3
143,W,9433,55,257,3
144,E,7538,89,482,14
145,S,1288,51,220,100
146,S,8693,66,229,94
147,S,3232,23,287,97
148,C,9248,83,290,57
149,E,5766,65,208,60
150,W,4703,10,347,71
151,N,3084,42,280,14
152,E,2827,6,274,68
153,C,4634,50,454,81
154,E,6333,37,220,11
155,C,5082,84,336,49
156,E,8624,12,208,24
157,S,3145,29,89,38
158,N,8626,5,133,24
159,C,7170,6,362,37
160,W,7684,25,286,99
161,E,6859,21,120,33
162,N,9085,14,189,58
163,C,3637,58,77,51
164,C,1337,48,213,13
165,E,4700,61,59,33
166,S,9975,68,204,16
167,N,7489,9,478,64
168,C,9421,31,173,74
169,W,8576,47,319,70
170,C,333,50,179,96
171,N,3950,94,230,70
172,E,7612,90,416,100
173,W,3268,6,253,70
174,W,3131,37,189,16
175,E,7204,50,404,64
176,E,1353,94,471,24
177,C,5372,85,358,92
178,W,7325,6,393,82
179,W,2621,4,397,57
180,N,6001,47,128,87
181,W,1259,74,237,51
182,E,1858,4,110,34
183,E,4678,89,486,10
184,W,1438,88,331,70
185,E,2852,47,171,64
186,N,7657,71,83,40
187,W,8612,53,212,83
188,N,5644,17,307,8
189,N,2653,42,178,26
190,C,8740,12,137,85
191,C,9234,6,91,6
192,C,9373,54,378,39
193,W,6653,39,275,54
194,W,2353,41,313,72
195,N,4382,58,99,7
196,E,6850,32,345,93
197,E,8433,60,96,51
198,C,9557,46,75,37
199,W,7710,37,185,94
200,E,6563,7,197,10
201,W,4582,80,456,44
202,C,3261,78,69,18
203,E,2440,78,251,79
204,E,8351,69,467,3
205,E,6824,75,292,34
206,C,9560,62,372,93
207,C,3968,5,210,54
208,S,8221,100,156,72
209,E,6173,41,322,44
210,C,4331,79,335,39
211,S,4735,91,212,62
212,E,4480,37,343,87
213,C,5654,99,71,37
214,N,4201,96,188,72
215,E,9614,31,392,68
216,S,6771,43,130,53
217,W,4706,42,383,74
218,S,611,23,453,64
219,S,4742,5,202,73
220,C,4662,59,289,35
221,S,7518,83,427,44
222,E,2875,79,255,86
223,N,5301,32,183,50
224,S,5400,39,404,31
225,N,2616,52,364,29
226,S,7454,96,437,69
227,S,9761,11,338,15
228,N,3312,74,276,15
229,S,8361,58,282,17
230,C,9155,60,431,28
231,C,1044,70,85,61
232,N,2218,99,242,11
233,C,1943,23,477,1
234,N,8920,55,227,20
235,E,1848,5,101,77
236,N,797,32,161,97
237,N,3836,94,171,39
238,S,6775,39,352,95
239,S,8120,7,213,90
240,W,3012,97,489,91
241,S,9214,53,248,32
242,E,7369,48,324,93
243,S,9911,78,497,10
244,S,9156,28,57,28
245,S,7846,32,214,100
246,E,5886,40,304,60
247,N,5246,27,73,73
248,S,9065,75,218,30
249,W,9021,84,136,94
250,E,8000,24,468,86
251,N,3791,9,241,8
252,C,7916,85,332,53
253,N,8777,37,307,90
254,W,1753,13,179,46
255,E,6652,59,384,84
256,N,9055,61,376,2
257,S,5427,73,320,6
258,S,9286,61,400,36
259,C,5152,3,123,97
260,W,9239,31,436,95
261,S,1284,65,479,10
262,E,9758,51,451,58
263,W,6150,56,388,49
264,N,4037,92,92,35
265,S,2527,95,96,1
266,E,1674,17,145,56
267,W,1692,4,231,71
268,N,6311,2,448,11
269,C,9370,67,136,18
270,E,1036,22,297,10
271,E,8123,77,205,1
272,W,5399,57,119,39
273,E,7848,41,213,38
274,W,5339,49,108,73
275,S,9012,4,469,53
276,W,4139,85,454,49
277,N,9539,52,454,47
278,C,1791,99,135,83
279,C,6547,97,55,13
280,E,9142,75,287,99
281,C,402,62,201,54
282,N,2321,45,451,27
283,C,7178,93,464,91
284,N,1791,87,314,23
285,C,7570,30,252,4
286,C,7037,50,410,28
287,S,1025,74,459,69
288,S,1867,34,362,51
289,C,7501,80,364,76
290,N,3908,40,143,48
291,S,2258,74,375,69
292,S,2298,24,493,46
293,N,6290,72,413,57
294,W,3613,38,190,29
295,C,9267,96,343,15
296,E,6010,70,439,93
297,W,1677,95,228,12
298,W,3882,27,365,18
299,S,9340,45,215,91
300,E,8428,87,119,97
301,W,2078,90,124,92
302,E,6434,63,373,35
303,W,1525,52,217,75
304,N,1526,94,253,28
305,W,5289,37,116,73
306,W,793,6,370,59
307,N,7230,59,269,26
308,S,4489,12,76,51
309,E,7032,84,410,13
310,N,9726,29,468,16
311,W,3751,50,424,14
312,N,2246,49,85,68
313,C,7210,45,94,13
314,S,6291,45,191,83
315,N,9954,37,310,25
316,W,3921,64,376,77
317,N,5916,41,490,73
318,W,7717,99,58,76
319,N,990,51,409,52
320,N,2501,36,208,11
321,C,2545,69,374,98
322,N,3909,8,272,15
323,W,2877,16,412,18
324,N,8568,67,425,16
325,N,8582,9,304,59
326,C,9287,22,445,14
327,C,8336,1,489,2
328,S,2458,23,333,92
329,W,5241,35,342,48
330,N,2938,29,493,37
331,E,130,48,338,39
332,C,8083,99,439,32
333,S,3817,70,50,98
334,W,1703,27,122,92
335,E,8515,53,308,18
336,W,7126,85,199,34
337,E,5345,41,153,18
338,C,7365,60,324,46
339,S,1964,12,473,91
340,C,5370,19,414,32
341,E,4896,34,257,58
342,C,7570,14,56,8
343,S,6098,88,61,9
344,S,2110,12,286,7
345,S,6471,64,245,88
346,W,3066,36,67,79
347,C,8173,53,246,18
348,W,8614,32,328,63
349,E,6363,35,213,77
350,S,4602,8,169,21
351,N,8743,95,441,29
352,C,5813,23,353,41
353,E,5761,73,327,40
354,S,3811,78,319,62
355,N,2137,44,350,91
356,S,5978,10,101,44
357,E,7157,82,405,79
358,E,2872,49,140,94
359,N,6415,99,464,79
360,S,8129,19,227,41
361,S,5500,58,185,27
362,S,1770,93,74,50
363,W,6783,64,101,62
364,C,2664,58,459,5
365,E,1715,10,132,94
366,N,1525,44,360,56
367,S,3112,53,171,13
368,N,8043,20,234,1
369,W,9833,62,63,27
370,S,7758,15,300,85
371,E,3029,48,72,34
372,W,4400,73,127,97
373,N,8871,53,469,67
374,W,7779,74,203,11
375,W,8226,74,138,22
376,S,6936,11,213,94
377,N,9044,42,497,2
378,C,1843,54,340,76
379,C,1730,73,452,37
380,C,4327,50,138,36
381,W,6581,5,431,61
382,E,4965,40,494,30
383,S,5257,35,158,53
384,W,920,66,209,91
385,C,8589,73,138,25
386,S,7478,7,238,60
387,C,500,31,278,23
388,W,2679,34,133,74
389,S,3387,35,117,83
390,S,4135,78,242,45
391,W,8530,80,311,85
392,E,4631,39,377,42
393,E,4895,25,441,31
394,N,9830,52,182,54
