EventID,StartTime,EndTime,ResourceID,VenueA,VenueB,Cost
1,1824,1860,141,126,115,45
2,1679,1848,45,303,217,18
3,488,541,112,120,259,164
4,434,607,102,367,333,189
5,8928,9065,113,230,302,81
6,106,176,217,175,143,49
7,3527,3643,53,48,195,34
8,5881,5999,136,414,23,196
9,7527,7694,64,499,473,106
10,1291,1462,151,425,322,168
11,5925,6102,99,361,36,21
12,3733,3837,41,438,120,35
13,6227,6328,233,326,428,103
14,2664,2788,182,108,344,78
15,1169,1242,274,374,126,51
16,7573,7700,139,474,328,186
17,9125,9211,167,432,394,24
18,3752,3790,162,206,138,26
19,3456,3631,162,109,336,137
20,6482,6629,74,136,72,73
21,9197,9364,135,383,300,119
22,9560,9692,186,113,71,140
23,8085,8138,25,441,57,49
24,2621,2759,33,198,196,162
25,7668,7833,129,498,284,12
26,1876,2043,137,394,329,97
27,1827,1932,223,81,233,10
28,4315,4473,92,260,468,37
29,4889,5048,102,79,192,51
30,8837,9002,1,307,166,135
31,319,377,186,450,426,88
32,3923,3967,124,450,291,30
33,1403,1557,36,390,273,42
34,2103,2254,282,85,136,145
35,9938,10076,109,476,277,196
36,3295,3404,205,344,333,105
37,7177,7339,232,62,127,67
38,1049,1165,11,302,284,68
39,9641,9727,4,37,363,171
40,964,1052,35,464,17,94
41,1160,1321,122,143,343,134
42,3510,3678,68,371,479,156
43,9440,9591,125,402,243,114
44,3119,3173,50,338,221,100
45,6939,7074,240,443,374,23
46,1612,1657,207,373,174,37
47,4073,4152,98,275,230,45
48,6912,6988,143,237,128,29
49,7260,7430,51,26,334,148
50,241,294,122,86,209,134
51,7886,7970,206,463,31,52
52,6209,6239,200,136,475,126
53,4673,4811,285,339,368,134
54,2536,2614,152,112,496,24
55,9489,9657,32,383,161,24
56,821,1000,245,258,471,145
57,2579,2623,261,42,436,57
58,1122,1169,121,207,62,155
59,4033,4211,21,318,42,117
60,9562,9736,268,162,479,76
61,3346,3456,123,136,203,43
62,4915,5062,162,476,385,28
63,152,299,289,52,38,147
64,3492,3651,136,68,478,99
65,1127,1219,190,146,81,122
66,8900,9007,271,5,342,151
67,4905,4961,69,136,60,37
68,9064,9133,140,145,310,63
69,5617,5699,136,259,251,74
70,832,885,217,425,142,21
71,58,173,67,327,135,51
72,7239,7410,219,288,5,38
73,1232,1300,280,19,428,104
74,9543,9714,76,221,66,20
75,5050,5173,21,461,184,63
76,4088,4144,182,400,287,114
77,2532,2622,84,500,410,55
78,6755,6791,92,378,474,95
79,6745,6838,137,82,404,189
80,1771,1898,20,440,241,66
81,3269,3416,180,157,421,68
82,3652,3688,99,205,169,81
83,1137,1238,180,329,261,112
84,8785,8899,15,60,450,76
85,2925,3103,136,20,56,162
86,7119,7237,161,224,311,140
87,1894,2022,296,98,131,21
88,7144,7174,267,474,413,147
89,3228,3351,221,36,486,180
90,5409,5519,64,369,461,86
91,8308,8417,210,168,207,188
92,4844,5015,66,99,216,180
93,6211,6285,292,155,208,150
94,6,113,147,108,221,158
95,9939,10051,239,227,346,64
96,8375,8526,87,338,44,82
97,8445,8560,48,420,488,70
98,5085,5172,102,76,13,21
99,4011,4162,38,234,213,171
100,9431,9510,197,254,205,72
101,2417,2448,55,399,218,66
102,2881,3043,238,26,286,73
103,1988,2134,69,411,238,180
104,8702,8875,163,487,387,123
105,10037,10079,219,426,465,150
106,7305,7375,244,231,133,73
107,4543,4706,249,321,123,80
108,7206,7255,147,121,140,95
109,5238,5406,42,71,78,69
110,6275,6344,110,33,213,114
111,5421,5589,239,213,32,62
112,6883,7012,300,485,357,15
113,9432,9559,245,4,483,100
114,4892,5021,215,276,383,198
115,8947,9033,250,113,140,121
116,7956,7993,200,173,343,183
117,6624,6696,240,471,66,169
118,8751,8787,202,304,289,179
119,444,495,220,70,444,128
120,2977,3019,134,195,168,64
121,7449,7562,173,390,451,107
122,4558,4695,130,428,42,130
123,317,485,27,488,180,67
124,1124,1164,16,487,127,61
125,333,402,123,65,243,181
126,1874,2048,112,239,359,75
127,6043,6115,59,399,420,51
128,5096,5153,297,14,476,89
129,9433,9559,204,483,367,60
130,1245,1337,53,357,396,87
131,9837,9897,290,401,22,98
132,8728,8867,190,36,260,175
133,5590,5623,216,422,251,37
134,7102,7224,236,363,79,121
135,2885,3048,139,316,414,147
136,7921,8070,224,423,375,161
137,4397,4509,126,426,479,32
138,4569,4714,125,385,238,155
139,9999,10079,173,15,254,93
140,2979,3133,109,182,409,76
141,5576,5677,142,285,6,142
142,3130,3181,124,369,209,135
143,9096,9187,244,331,365,135
144,7342,7376,48,151,114,113
145,3986,4094,298,189,243,151
146,8698,8816,218,382,282,94
147,5764,5910,139,157,129,69
148,1976,2055,162,62,381,147
149,3033,3112,111,379,248,80
150,9659,9823,145,52,427,59
151,4853,4941,185,92,155,13
152,8751,8813,141,24,499,23
153,9066,9170,65,327,445,135
154,1680,1713,294,146,241,132
155,7216,7333,95,495,27,74
156,7827,7886,34,206,252,28
157,9453,9496,78,77,416,154
158,4978,5029,128,61,286,116
159,9933,10020,268,195,231,123
160,4871,5051,220,157,292,168
161,986,1041,107,321,109,77
162,1330,1400,123,89,283,29
163,2564,2594,210,231,353,162
164,7699,7803,17,119,148,190
165,4632,4778,37,352,120,77
166,9663,9743,218,59,279,67
167,2441,2539,73,37,31,52
168,5039,5214,148,225,64,129
169,4982,5115,140,257,277,136
170,7172,7222,21,456,222,198
171,5280,5374,14,47,118,182
172,9424,9604,11,392,345,78
173,9441,9481,90,241,266,176
174,7245,7346,93,300,224,172
175,8056,8109,241,179,210,95
176,5260,5316,83,169,211,187
177,8117,8220,206,417,390,150
178,601,747,46,162,130,92
179,1899,2032,264,423,1,178
180,8889,9037,212,28,97,142
181,5927,6084,227,390,27,62
182,4375,4545,68,475,148,122
183,7941,8002,15,499,323,165
184,3920,3990,160,283,8,151
185,6684,6737,116,431,468,39
186,7560,7620,79,256,478,193
187,4781,4941,140,213,428,133
188,7736,7828,234,283,75,108
189,3122,3282,70,443,36,80
190,6798,6915,260,137,421,10
191,4634,4740,297,338,251,48
192,7316,7483,248,177,171,151
193,8903,9029,234,478,165,58
194,3912,4088,197,120,439,115
195,715,826,243,362,468,107
196,6325,6393,254,494,19,42
197,8229,8343,52,448,433,122
198,1633,1797,234,8,370,46
199,6717,6786,39,241,401,77
200,5546,5677,42,437,169,182
201,8742,8869,163,321,368,134
202,8864,8903,36,121,324,185
203,4708,4796,47,223,51,172
204,1646,1789,86,356,154,17
205,753,866,29,151,184,105
206,7056,7123,126,272,211,154
207,2950,3023,90,41,313,107
208,3945,4102,299,74,119,128
209,4161,4308,131,342,5,129
210,4712,4881,81,38,227,98
211,9626,9732,218,354,129,126
212,4949,5029,197,437,248,37
213,3886,4013,293,184,295,85
214,4837,4872,203,141,5,154
215,803,960,147,398,410,68
216,9946,10066,113,326,98,168
217,4106,4171,50,463,322,175
218,645,754,226,18,297,103
219,2153,2206,152,168,383,116
220,2877,2958,68,403,277,103
221,8697,8855,140,426,85,75
222,7894,7999,174,412,59,129
223,1233,1299,116,441,347,195
224,6511,6683,188,47,405,111
225,228,325,275,64,233,104
226,4295,4474,196,422,327,105
227,1775,1864,242,13,318,153
228,5374,5460,33,326,422,128
229,4951,5085,60,72,24,19
230,4986,5142,60,50,121,147
231,2222,2351,233,190,344,200
232,8850,8987,80,454,213,177
233,1622,1777,209,481,488,81
234,536,660,112,228,487,70
235,5942,5997,189,279,462,175
236,5876,5921,204,142,98,41
237,7450,7503,109,329,328,162
238,349,391,171,125,65,154
239,3362,3409,284,107,301,65
240,3817,3931,76,404,462,162
241,46,146,75,67,277,74
242,2858,2916,14,68,8,101
243,3898,4078,166,9,90,77
244,858,920,216,270,59,200
245,1041,1192,230,399,186,141
246,9726,9783,232,258,114,167
247,710,873,155,235,330,17
248,996,1148,206,219,352,37
249,8032,8175,38,461,42,92
250,9966,10033,34,65,141,169
251,9590,9760,167,196,306,145
252,4831,4977,259,310,221,35
253,1874,2045,111,221,232,68
254,6779,6895,233,205,213,196
255,1557,1667,219,161,341,75
256,6132,6201,243,35,47,31
257,1527,1667,50,382,379,105
258,2131,2303,31,301,490,153
