NodeID,Zone,Latitude,Longitude,ConnectedTo,Distance,BackupCount,Backup1,Backup2,Backup3,Backup4,Backup5,ActiveUsers,AvgBandwidth
0,North,12.057503,76.632509,3657,18,5,1679,8935,1424,9674,6912,66,4
1,North,12.115591,76.701607,434,72,1,8928,-1,-1,-1,-1,264,29
2,West,12.22678,76.792829,106,98,1,6924,-1,-1,-1,-1,224,36
3,South,12.114594,76.779048,1674,12,3,1584,5881,5635,-1,-1,359,34
4,North,12.26892,76.710868,6201,11,4,4803,5925,9459,3150,-1,410,9
5,North,12.248379,76.781921,1307,30,0,-1,-1,-1,-1,-1,244,36
6,West,12.240705,76.65945,6065,46,1,4374,-1,-1,-1,-1,409,88
7,North,12.232739,76.601342,4010,21,3,6216,4422,9125,-1,-1,162,88
8,East,12.302856,76.7828,3752,5,2,6572,4386,-1,-1,-1,83,28
9,Central,12.31291,76.644403,8179,51,5,7517,2340,4339,2287,4040,431,72
10,Central,12.128822,76.725376,9560,52,2,3593,2266,-1,-1,-1,310,64
11,North,12.276735,76.808331,2504,81,1,6916,-1,-1,-1,-1,355,9
12,West,12.164486,76.848836,8669,33,4,188,1876,8797,4371,-1,443,83
13,East,12.083466,76.68043,7433,1,5,4315,8201,2927,8317,1743,495,81
14,East,12.302501,76.702299,3258,20,2,2646,8837,-1,-1,-1,448,68
15,North,12.229683,76.696582,1832,47,2,3923,949,-1,-1,-1,173,73
16,North,12.075696,76.695797,1133,98,4,2060,2103,7787,9007,-1,134,34
17,Central,12.31173,76.676941,3470,70,5,3295,5107,6537,6118,7177,314,58
18,North,12.124372,76.569208,344,76,4,3770,9641,3608,117,-1,86,91
19,North,12.118683,76.821626,5413,10,4,3899,4562,7953,3510,-1,326,17
20,Central,12.222863,76.622899,7749,53,1,1545,-1,-1,-1,-1,99,85
21,West,12.156289,76.673331,887,87,5,1612,993,6596,5559,1790,177,25
22,South,12.210886,76.592055,3006,36,3,4092,1235,7260,-1,-1,463,71
23,North,12.065176,76.849785,241,12,1,2724,-1,-1,-1,-1,258,63
24,West,12.114124,76.670312,960,22,3,35,6396,4345,-1,-1,451,59
25,East,12.176902,76.837195,9105,85,5,7973,2536,3111,4861,3566,79,75
26,Central,12.068287,76.644081,821,75,3,8238,8701,2579,-1,-1,79,66
27,North,12.305403,76.570556,1113,87,1,6615,-1,-1,-1,-1,111,73
28,South,12.223676,76.561922,1343,54,5,9562,9260,8565,5183,4272,154,86
29,East,12.121606,76.668736,4915,59,2,1188,152,-1,-1,-1,284,80
30,Central,12.348829,76.571978,3492,65,2,2170,5718,-1,-1,-1,85,32
31,East,12.135496,76.681455,8900,91,2,8666,128,-1,-1,-1,391,71
32,East,12.329527,76.581076,2200,34,0,-1,-1,-1,-1,-1,104,96
33,Central,12.096634,76.634527,3450,92,2,3335,4325,-1,-1,-1,308,63
34,East,12.321601,76.803831,1512,82,3,4533,722,58,-1,-1,220,99
35,South,12.241134,76.628587,7239,71,5,7007,9189,158,1832,1232,403,20
36,Central,12.060808,76.660765,9052,19,3,2088,685,5050,-1,-1,236,6
37,East,12.113023,76.624859,1684,46,4,6658,2532,3878,2662,-1,459,23
38,West,12.057436,76.770969,5442,53,5,4065,4371,2608,1771,6267,496,5
39,West,12.11673,76.794976,7541,45,2,3728,3652,-1,-1,-1,62,85
40,South,12.16954,76.633581,1137,99,2,5753,8346,-1,-1,-1,254,87
41,Central,12.149345,76.55828,4279,23,4,4349,626,1776,9774,-1,272,45
42,East,12.180918,76.845271,1894,50,4,3114,4173,727,7144,-1,50,67
43,Central,12.256057,76.832079,3228,47,3,1146,5409,5143,-1,-1,389,16
44,East,12.202137,76.750068,5344,52,5,4844,9083,2085,3143,6888,390,49
45,South,12.234654,76.640285,8977,1,2,4700,3443,-1,-1,-1,270,75
46,Central,12.246412,76.689496,7244,87,1,8375,-1,-1,-1,-1,292,95
47,South,12.247655,76.635136,5491,12,1,5085,-1,-1,-1,-1,165,26
48,South,12.057328,76.623453,7784,79,0,-1,-1,-1,-1,-1,283,54
49,Central,12.108331,76.758906,8099,52,1,2417,-1,-1,-1,-1,385,89
50,North,12.317798,76.808132,1746,100,3,3585,2881,8486,-1,-1,287,7
51,Central,12.124759,76.804501,7478,18,3,8702,9157,9755,-1,-1,212,97
52,West,12.233796,76.765782,8270,55,4,7305,2607,7777,7373,-1,182,97
53,South,12.301959,76.633193,8540,63,5,3919,4499,7206,1269,4681,170,35
54,East,12.145913,76.712046,2267,20,1,6275,-1,-1,-1,-1,405,20
55,South,12.069269,76.67228,8890,60,3,1020,3388,6883,-1,-1,249,99
56,Central,12.333819,76.55586,9432,49,3,96,5763,4892,-1,-1,435,50
57,West,12.211466,76.77039,9883,29,3,3595,4471,7140,-1,-1,298,4
