VisitorID,Zone,Time,Density,NodeU,NodeV,Weight,TaskPriority
1,24,401,86,95,39,3,96
2,48,618,55,46,118,16,70
3,99,794,267,52,41,14,69
4,198,1292,30,81,33,2,30
5,132,29,302,60,108,8,7
6,97,474,55,65,83,14,25
7,59,420,220,22,40,11,2
8,28,840,168,42,47,20,26
9,62,958,99,108,22,8,40
10,142,331,235,27,39,5,90
11,184,850,432,61,75,20,95
12,28,817,428,85,115,3,33
13,15,1435,367,34,39,11,35
14,33,171,317,54,102,15,64
15,125,140,256,34,71,12,16
16,72,459,210,72,55,16,76
17,45,1301,151,8,31,12,54
18,83,723,297,116,82,1,5
19,91,1367,112,63,42,16,68
20,75,1083,217,35,83,16,27
21,169,507,104,70,27,12,58
22,149,1325,260,2,90,2,72
23,26,1218,268,33,24,16,28
24,165,1369,221,16,55,7,37
25,53,1053,24,92,81,8,61
26,145,974,324,99,27,14,4
27,93,897,149,12,55,12,55
28,141,807,454,106,42,3,8
29,193,279,232,19,4,3,97
30,138,113,345,102,105,9,96
31,180,745,34,110,83,18,9
32,108,1106,386,31,93,1,65
33,115,166,29,46,55,1,53
34,129,459,143,20,18,19,97
35,158,1433,156,70,67,17,84
36,69,1110,363,9,51,16,71
37,6,651,72,67,77,4,88
38,153,82,334,106,90,10,10
39,60,353,453,84,116,3,62
40,182,914,140,4,11,13,9
41,141,292,422,63,51,2,43
42,107,233,46,8,9,19,78
43,150,1172,63,61,39,10,28
44,197,1278,212,94,4,6,19
45,87,989,385,45,62,1,99
46,34,541,380,61,76,17,93
47,86,1377,60,81,7,19,79
48,84,1348,489,59,39,9,76
49,68,979,61,85,45,8,15
50,185,1261,59,18,42,1,58
51,98,1071,294,22,81,14,14
52,192,524,434,108,120,3,67
53,59,1362,19,8,84,12,1
54,105,1207,387,61,8,11,27
55,62,492,292,26,47,16,71
56,132,672,269,9,71,1,46
57,191,806,271,80,32,1,92
58,80,613,162,120,1,13,36
59,23,1271,373,75,81,5,37
60,89,602,172,19,10,10,3
61,25,919,276,18,50,10,95
62,35,724,238,38,29,14,81
63,99,1087,424,98,111,9,35
64,121,1312,226,5,33,13,15
65,132,1329,162,33,13,19,43
66,136,441,379,45,111,6,86
67,169,593,162,96,44,8,26
68,195,637,189,68,9,18,98
69,20,432,220,18,33,16,75
70,183,557,175,76,115,14,97
71,119,728,421,55,51,20,38
72,97,1242,382,96,41,3,88
73,134,443,223,57,6,15,38
74,116,1358,255,76,74,2,80
75,60,252,198,26,13,20,82
76,20,347,141,89,102,7,96
77,191,678,275,89,69,5,74
78,155,1064,446,34,85,7,98
79,103,709,168,13,37,19,23
80,64,687,177,73,113,11,31
81,199,1192,178,93,22,8,81
82,109,1125,16,26,102,12,82
83,47,1308,410,53,36,13,43
84,71,384,463,84,96,13,40
85,41,1415,268,14,48,11,78
86,90,1008,430,5,23,10,58
87,139,798,364,69,32,3,71
88,97,405,494,96,42,10,18
89,66,1,99,78,73,7,20
90,59,566,334,24,15,13,66
91,55,218,364,5,58,20,32
92,199,1285,322,100,86,2,23
93,72,445,307,101,78,12,61
94,197,954,55,63,99,4,30
95,45,898,57,105,13,16,45
96,43,500,499,11,101,7,22
97,7,1375,427,113,98,19,7
98,145,561,334,29,91,7,6
99,80,183,266,79,78,6,41
100,117,714,349,119,2,16,25
101,79,880,78,61,21,14,6
102,116,172,26,100,99,18,72
103,75,469,288,88,63,7,30
104,67,888,62,87,49,12,88
105,17,171,262,4,120,16,57
106,89,211,411,101,29,14,14
107,180,776,377,91,38,4,91
108,101,286,204,116,30,9,46
109,142,1091,492,92,117,7,82
110,84,333,117,55,112,11,40
111,84,213,301,115,19,17,26
112,16,7,247,55,7,19,22
113,89,964,435,1,116,12,65
114,141,526,109,32,41,1,48
115,150,40,445,98,97,15,16
116,106,1135,463,47,109,7,51
117,61,1095,245,92,4,17,14
118,62,681,41,98,120,16,66
119,52,1207,183,71,56,17,98
120,134,218,365,108,42,11,41
121,14,1171,303,70,100,1,88
122,185,415,88,119,83,9,25
123,122,840,494,113,99,14,34
124,55,1169,455,102,114,15,36
125,168,1329,271,65,25,6,39
126,168,688,318,76,25,9,59
127,3,565,315,23,113,7,18
128,168,782,159,14,16,18,6
129,70,396,292,110,22,14,13
130,57,53,500,46,28,8,85
131,96,347,48,33,102,15,21
132,155,173,212,90,9,7,66
133,79,421,270,119,42,18,63
134,131,1267,434,29,74,19,90
135,57,422,474,117,34,17,53
136,12,1072,197,33,54,3,11
137,150,1198,378,73,50,20,18
138,15,198,182,42,45,16,92
139,160,1182,53,63,27,9,26
140,162,851,40,28,68,8,31
141,48,493,207,35,106,6,48
142,106,139,19,56,47,7,89
143,141,495,113,101,58,20,29
144,69,834,73,80,36,19,66
145,14,464,292,53,55,7,76
146,138,1011,123,82,108,9,56
147,13,1243,77,15,113,6,85
148,106,1282,355,64,55,4,44
149,60,1109,229,66,29,15,62
150,25,436,183,100,78,5,7
151,15,1017,447,31,92,14,68
152,15,794,103,114,83,4,28
153,176,799,46,112,82,17,31
154,123,637,262,20,19,6,30
155,160,821,304,62,35,17,89
156,156,746,329,10,105,19,79
157,187,1218,198,119,24,16,13
158,167,829,303,54,102,10,90
159,37,240,275,7,103,10,69
160,124,1069,366,43,2,18,31
161,77,169,346,54,1,12,98
162,159,192,343,64,85,7,5
163,50,990,31,23,24,17,59
164,124,1098,437,10,100,2,41
165,94,772,438,103,60,6,65
166,187,194,164,85,68,17,5
167,62,517,370,15,83,15,6
168,125,443,243,13,83,6,2
169,14,460,255,112,110,14,27
170,183,765,37,71,85,15,13
171,55,841,256,76,109,15,77
172,109,143,188,92,115,7,33
173,175,587,383,22,96,12,20
174,82,827,139,14,65,16,43
175,38,1171,125,38,111,15,1
176,116,949,298,14,18,2,25
177,26,107,489,46,108,6,1
178,99,1344,134,80,88,13,15
179,125,1052,300,8,72,10,60
180,150,7,26,16,75,4,55
181,55,440,414,52,29,1,85
182,29,706,81,39,38,10,22
183,124,1385,397,120,72,16,62
184,97,715,492,80,103,11,27
185,198,988,236,13,98,10,56
186,12,398,203,115,32,19,83
187,145,1060,372,7,111,11,1
188,123,639,169,52,75,13,96
189,11,493,442,8,14,7,55
190,71,705,118,84,51,1,41
191,134,117,74,18,97,6,27
192,70,438,480,34,80,8,47
193,189,1032,484,5,113,1,49
194,177,1428,385,32,37,20,50
195,126,189,491,83,64,18,64
196,186,1018,438,89,106,8,24
197,10,1277,263,93,10,7,65
198,176,997,135,36,84,14,50
199,170,929,316,79,95,15,85
200,187,409,437,59,74,17,76
201,55,199,91,2,59,9,38
202,127,1019,195,35,2,7,43
203,147,584,192,16,72,20,15
204,114,630,129,83,104,3,41
205,69,806,48,62,110,9,6
206,158,753,18,37,25,5,48
207,79,1060,190,62,79,9,8
208,62,1098,151,21,53,9,35
209,104,335,158,73,9,9,50
210,84,0,23,84,77,3,9
211,117,418,400,99,92,17,75
212,105,381,343,99,104,11,82
213,148,1158,429,57,50,13,91
214,18,309,64,72,84,8,23
215,153,612,441,93,24,11,96
216,56,322,186,9,94,13,12
217,167,728,403,89,99,17,79
218,101,702,40,95,4,1,11
219,103,1371,105,7,102,2,13
220,41,337,298,83,48,12,18
221,81,536,52,66,33,5,27
222,8,1202,376,11,46,17,57
223,50,553,248,52,48,13,10
224,176,1357,105,34,19,15,29
225,151,606,443,82,35,2,20
226,132,434,435,108,34,18,83
227,158,1230,281,37,88,19,85
228,76,314,146,105,37,15,40
229,54,1024,144,43,111,5,94
230,94,1066,115,72,58,6,79
231,110,576,61,117,100,17,69
232,151,819,405,97,111,2,89
