BinID,Zone,Latitude,Longitude,WasteType,RouteID,NearbyPopulation,SensorStatus
0,South,12.2331,76.7356,recyclable,554,477,OK
1,East,12.1602,76.7692,recyclable,60,502,OK
2,Central,12.2424,76.7628,organic,972,5311,OK
3,East,12.1537,76.7861,recyclable,962,4871,OK
4,Central,12.2016,76.7855,organic,591,8980,OK
5,East,12.2394,76.7601,recyclable,234,7572,OK
6,West,12.2344,76.7846,other,25,4204,OK
7,South,12.2614,76.7479,organic,696,8678,FAULT
8,South,12.2552,76.7776,ewaste,739,2637,OK
9,Central,12.2329,76.7713,recyclable,409,816,OK
10,Central,12.2054,76.7359,recyclable,45,3940,OK
11,West,12.2491,76.7569,organic,433,427,OK
12,North,12.2443,76.7464,organic,764,5942,FAULT
13,West,12.2239,76.7999,other,294,2856,OK
14,West,12.1936,76.7488,organic,141,3057,OK
15,West,12.2543,76.7655,recyclable,609,8048,OK
16,West,12.1845,76.7909,hazardous,112,6059,OK
17,South,12.1699,76.7391,recyclable,46,8342,OK
18,Central,12.2588,76.757,other,151,2021,OK
19,Central,12.1913,76.7373,organic,628,880,FAULT
20,North,12.188,76.727,organic,735,1345,OK
21,West,12.1875,76.7185,organic,828,6930,OK
22,Central,12.2459,76.7405,organic,921,7532,OK
23,East,12.1516,76.7521,organic,624,4491,OK
24,Central,12.1872,76.7685,recyclable,58,3915,OK
25,Central,12.2549,76.7493,recyclable,518,2285,FAULT
26,North,12.2151,76.7297,organic,234,2525,OK
27,West,12.2268,76.7829,other,965,3354,OK
28,North,12.1726,76.7891,organic,322,7813,OK
29,East,12.2607,76.7925,organic,947,4511,OK
30,North,12.1513,76.7849,other,762,7990,OK
31,Central,12.2539,76.7472,organic,859,2385,OK
32,Central,12.2002,76.701,recyclable,919,7982,OK
33,West,12.2692,76.7109,other,674,1881,OK
34,West,12.2585,76.7218,recyclable,331,7238,OK
35,West,12.171,76.755,organic,948,5760,OK
36,East,12.1777,76.7108,recyclable,212,6891,OK
37,West,12.1505,76.7698,other,915,6454,OK
38,North,12.1524,76.7265,organic,493,7438,OK
39,East,12.2329,76.765,organic,582,7220,OK
40,West,12.1919,76.7205,organic,867,1429,OK
41,Central,12.2696,76.7058,organic,610,308,OK
42,Central,12.1634,76.7928,hazardous,827,7711,OK
43,West,12.2083,76.7129,organic,512,7365,OK
44,South,12.238,76.7937,organic,40,5740,OK
45,East,12.1879,76.7021,organic,959,4311,OK
46,West,12.1869,76.7324,other,468,2887,OK
47,West,12.2391,76.7994,recyclable,65,5408,OK
48,West,12.2461,76.7032,organic,380,454,OK
49,Central,12.2067,76.7139,organic,942,1034,OK
50,East,12.2633,76.77,other,328,8549,OK
51,East,12.2236,76.7079,recyclable,373,6461,OK
52,Central,12.227,76.7542,organic,707,2353,OK
53,South,12.2492,76.7917,recyclable,943,8938,OK
54,West,12.2666,76.7371,organic,547,1767,OK
55,North,12.1939,76.7382,other,9,1780,OK
